building_id,building_type,nb_houses,infrastructure_id,infrastructure_type,cost,time,priority_score,efficiency
109,habitation,1,0,aérien,50.0,0.0,10,0.02
110,habitation,1,0,aérien,50.0,0.0,10,0.02
111,habitation,1,0,aérien,50.0,0.0,10,0.02
112,habitation,1,0,aérien,50.0,0.0,10,0.02
113,habitation,1,0,aérien,50.0,0.0,10,0.02
114,habitation,1,0,aérien,50.0,0.0,10,0.02
115,habitation,1,0,aérien,50.0,0.0,10,0.02
116,habitation,1,0,aérien,50.0,0.0,10,0.02
117,habitation,1,0,aérien,50.0,0.0,10,0.02
118,habitation,1,0,aérien,50.0,0.0,10,0.02
119,habitation,1,0,aérien,50.0,0.0,10,0.02
120,habitation,1,0,aérien,50.0,0.0,10,0.02
121,habitation,1,0,aérien,50.0,0.0,10,0.02
122,habitation,1,0,aérien,50.0,0.0,10,0.02
123,habitation,1,0,aérien,50.0,0.0,10,0.02
124,habitation,1,0,aérien,50.0,0.0,10,0.02
125,habitation,1,0,aérien,50.0,0.0,10,0.02
126,habitation,1,0,aérien,50.0,0.0,10,0.02
127,habitation,1,0,aérien,50.0,0.0,10,0.02
128,habitation,1,0,aérien,50.0,0.0,10,0.02
129,habitation,1,0,aérien,50.0,0.0,10,0.02
130,habitation,1,0,aérien,50.0,0.0,10,0.02
131,habitation,1,0,aérien,50.0,0.0,10,0.02
132,habitation,1,0,aérien,50.0,0.0,10,0.02
133,habitation,1,0,aérien,50.0,0.0,10,0.02
134,habitation,1,0,aérien,50.0,0.0,10,0.02
135,habitation,1,0,aérien,50.0,0.0,10,0.02
136,habitation,1,0,aérien,50.0,0.0,10,0.02
137,habitation,1,0,aérien,50.0,0.0,10,0.02
138,habitation,1,0,aérien,50.0,0.0,10,0.02
139,habitation,1,0,aérien,50.0,0.0,10,0.02
140,habitation,1,0,aérien,50.0,0.0,10,0.02
141,habitation,1,0,aérien,50.0,0.0,10,0.02
142,habitation,1,0,aérien,50.0,0.0,10,0.02
143,habitation,1,0,aérien,50.0,0.0,10,0.02
144,habitation,1,0,aérien,50.0,0.0,10,0.02
145,habitation,1,0,aérien,50.0,0.0,10,0.02
146,habitation,1,0,aérien,50.0,0.0,10,0.02
147,habitation,1,0,aérien,50.0,0.0,10,0.02
148,habitation,1,0,aérien,50.0,0.0,10,0.02
149,habitation,1,0,aérien,50.0,0.0,10,0.02
150,habitation,1,0,aérien,50.0,0.0,10,0.02
151,habitation,1,0,aérien,50.0,0.0,10,0.02
152,habitation,1,0,aérien,50.0,0.0,10,0.02
153,habitation,1,0,aérien,50.0,0.0,10,0.02
154,habitation,1,0,aérien,50.0,0.0,10,0.02
155,habitation,1,0,aérien,50.0,0.0,10,0.02
156,habitation,1,0,aérien,50.0,0.0,10,0.02
157,habitation,1,0,aérien,50.0,0.0,10,0.02
158,habitation,1,0,aérien,50.0,0.0,10,0.02
159,habitation,1,0,aérien,50.0,0.0,10,0.02
160,habitation,1,0,aérien,50.0,0.0,10,0.02
161,habitation,1,0,aérien,50.0,0.0,10,0.02
162,habitation,1,0,aérien,50.0,0.0,10,0.02
163,habitation,1,0,aérien,50.0,0.0,10,0.02
164,habitation,1,0,aérien,50.0,0.0,10,0.02
165,habitation,1,0,aérien,50.0,0.0,10,0.02
166,habitation,1,0,aérien,50.0,0.0,10,0.02
167,habitation,1,0,aérien,50.0,0.0,10,0.02
168,habitation,1,0,aérien,50.0,0.0,10,0.02
169,habitation,1,0,aérien,50.0,0.0,10,0.02
170,habitation,1,0,aérien,50.0,0.0,10,0.02
171,habitation,1,0,aérien,50.0,0.0,10,0.02
172,habitation,1,0,aérien,50.0,0.0,10,0.02
173,habitation,1,0,aérien,50.0,0.0,10,0.02
174,habitation,1,0,aérien,50.0,0.0,10,0.02
175,habitation,1,0,aérien,50.0,0.0,10,0.02
176,habitation,1,0,aérien,50.0,0.0,10,0.02
177,habitation,1,0,aérien,50.0,0.0,10,0.02
178,habitation,1,0,aérien,50.0,0.0,10,0.02
179,habitation,1,0,aérien,50.0,0.0,10,0.02
180,habitation,1,0,aérien,50.0,0.0,10,0.02
181,habitation,1,0,aérien,50.0,0.0,10,0.02
182,habitation,1,0,aérien,50.0,0.0,10,0.02
183,habitation,1,0,aérien,50.0,0.0,10,0.02
184,habitation,1,0,aérien,50.0,0.0,10,0.02
185,habitation,1,0,aérien,50.0,0.0,10,0.02
186,habitation,1,0,aérien,50.0,0.0,10,0.02
187,habitation,1,0,aérien,50.0,0.0,10,0.02
188,habitation,1,0,aérien,50.0,0.0,10,0.02
189,habitation,1,0,aérien,50.0,0.0,10,0.02
190,habitation,1,0,aérien,50.0,0.0,10,0.02
191,habitation,1,0,aérien,50.0,0.0,10,0.02
192,habitation,1,0,aérien,50.0,0.0,10,0.02
193,habitation,1,0,aérien,50.0,0.0,10,0.02
194,habitation,1,0,aérien,50.0,0.0,10,0.02
195,habitation,1,0,aérien,50.0,0.0,10,0.02
196,habitation,1,0,aérien,50.0,0.0,10,0.02
197,habitation,1,0,aérien,50.0,0.0,10,0.02
198,habitation,1,0,aérien,50.0,0.0,10,0.02
199,habitation,1,0,aérien,50.0,0.0,10,0.02
200,habitation,1,0,aérien,50.0,0.0,10,0.02
201,habitation,1,0,aérien,50.0,0.0,10,0.02
202,habitation,1,0,aérien,50.0,0.0,10,0.02
203,habitation,1,0,aérien,50.0,0.0,10,0.02
204,habitation,1,0,aérien,50.0,0.0,10,0.02
205,habitation,1,0,aérien,50.0,0.0,10,0.02
206,habitation,1,0,aérien,50.0,0.0,10,0.02
207,habitation,1,0,aérien,50.0,0.0,10,0.02
208,habitation,1,0,aérien,50.0,0.0,10,0.02
209,habitation,1,0,aérien,50.0,0.0,10,0.02
210,habitation,1,0,aérien,50.0,0.0,10,0.02
211,habitation,1,0,aérien,50.0,0.0,10,0.02
212,habitation,1,0,aérien,50.0,0.0,10,0.02
213,habitation,1,0,aérien,50.0,0.0,10,0.02
214,habitation,1,0,aérien,50.0,0.0,10,0.02
215,habitation,1,0,aérien,50.0,0.0,10,0.02
216,habitation,1,0,aérien,50.0,0.0,10,0.02
217,habitation,1,0,aérien,50.0,0.0,10,0.02
218,habitation,1,0,aérien,50.0,0.0,10,0.02
219,habitation,1,0,aérien,50.0,0.0,10,0.02
220,habitation,1,0,aérien,50.0,0.0,10,0.02
221,habitation,1,0,aérien,50.0,0.0,10,0.02
222,habitation,1,0,aérien,50.0,0.0,10,0.02
223,habitation,1,0,aérien,50.0,0.0,10,0.02
224,habitation,1,0,aérien,50.0,0.0,10,0.02
225,habitation,1,0,aérien,50.0,0.0,10,0.02
226,habitation,1,0,aérien,50.0,0.0,10,0.02
227,habitation,1,0,aérien,50.0,0.0,10,0.02
228,habitation,1,0,aérien,50.0,0.0,10,0.02
229,habitation,1,0,aérien,50.0,0.0,10,0.02
