building_id,building_type,nb_houses,infrastructure_id,infrastructure_type,phase,cost
154,habitation,1,0,aérien,1,50.0
155,habitation,1,0,aérien,1,50.0
156,habitation,1,0,aérien,1,50.0
157,habitation,1,0,aérien,1,50.0
158,habitation,1,0,aérien,1,50.0
159,habitation,1,0,aérien,1,50.0
160,habitation,1,0,aérien,1,50.0
161,habitation,1,0,aérien,1,50.0
162,habitation,1,0,aérien,1,50.0
163,habitation,1,0,aérien,1,50.0
164,habitation,1,0,aérien,1,50.0
165,habitation,1,0,aérien,1,50.0
166,habitation,1,0,aérien,1,50.0
167,habitation,1,0,aérien,1,50.0
168,habitation,1,0,aérien,1,50.0
169,habitation,1,0,aérien,1,50.0
170,habitation,1,0,aérien,1,50.0
171,habitation,1,0,aérien,1,50.0
172,habitation,1,0,aérien,1,50.0
173,habitation,1,0,aérien,1,50.0
174,habitation,1,0,aérien,1,50.0
175,habitation,1,0,aérien,1,50.0
176,habitation,1,0,aérien,1,50.0
177,habitation,1,0,aérien,1,50.0
178,habitation,1,0,aérien,1,50.0
179,habitation,1,0,aérien,1,50.0
180,habitation,1,0,aérien,1,50.0
181,habitation,1,0,aérien,1,50.0
182,habitation,1,0,aérien,1,50.0
183,habitation,1,0,aérien,1,50.0
184,habitation,1,0,aérien,1,50.0
185,habitation,1,0,aérien,1,50.0
186,habitation,1,0,aérien,1,50.0
187,habitation,1,0,aérien,1,50.0
188,habitation,1,0,aérien,1,50.0
189,habitation,1,0,aérien,1,50.0
190,habitation,1,0,aérien,1,50.0
191,habitation,1,0,aérien,1,50.0
192,habitation,1,0,aérien,1,50.0
193,habitation,1,0,aérien,1,50.0
194,habitation,1,0,aérien,1,50.0
195,habitation,1,0,aérien,1,50.0
196,habitation,1,0,aérien,1,50.0
197,habitation,1,0,aérien,1,50.0
198,habitation,1,0,aérien,1,50.0
199,habitation,1,0,aérien,1,50.0
200,habitation,1,0,aérien,1,50.0
201,habitation,1,0,aérien,1,50.0
202,habitation,1,0,aérien,1,50.0
203,habitation,1,0,aérien,1,50.0
204,habitation,1,0,aérien,1,50.0
205,habitation,1,0,aérien,1,50.0
206,habitation,1,0,aérien,1,50.0
207,habitation,1,0,aérien,1,50.0
208,habitation,1,0,aérien,1,50.0
209,habitation,1,0,aérien,1,50.0
210,habitation,1,0,aérien,1,50.0
211,habitation,1,0,aérien,1,50.0
212,habitation,1,0,aérien,1,50.0
213,habitation,1,0,aérien,1,50.0
214,habitation,1,0,aérien,1,50.0
215,habitation,1,0,aérien,1,50.0
216,habitation,1,0,aérien,1,50.0
217,habitation,1,0,aérien,1,50.0
218,habitation,1,0,aérien,1,50.0
219,habitation,1,0,aérien,1,50.0
220,habitation,1,0,aérien,1,50.0
221,habitation,1,0,aérien,1,50.0
222,habitation,1,0,aérien,1,50.0
223,habitation,1,0,aérien,1,50.0
224,habitation,1,0,aérien,1,50.0
225,habitation,1,0,aérien,1,50.0
226,habitation,1,0,aérien,1,50.0
227,habitation,1,0,aérien,1,50.0
228,habitation,1,0,aérien,1,50.0
229,habitation,1,0,aérien,1,50.0
230,habitation,1,0,aérien,1,50.0
231,habitation,1,0,aérien,1,50.0
232,habitation,1,0,aérien,1,50.0
233,habitation,1,0,aérien,1,50.0
234,habitation,1,0,aérien,1,50.0
235,habitation,1,0,aérien,1,50.0
236,habitation,1,0,aérien,1,50.0
237,habitation,1,0,aérien,1,50.0
238,habitation,1,0,aérien,1,50.0
239,habitation,1,0,aérien,1,50.0
240,habitation,1,0,aérien,1,50.0
241,habitation,1,0,aérien,1,50.0
242,habitation,1,0,aérien,1,50.0
243,habitation,1,0,aérien,1,50.0
244,habitation,1,0,aérien,1,50.0
245,habitation,1,0,aérien,1,50.0
246,habitation,1,0,aérien,1,50.0
247,habitation,1,0,aérien,1,50.0
248,habitation,1,0,aérien,1,50.0
249,habitation,1,0,aérien,1,50.0
250,habitation,1,0,aérien,1,50.0
251,habitation,1,0,aérien,1,50.0
252,habitation,1,0,aérien,1,50.0
253,habitation,1,0,aérien,1,50.0
254,habitation,1,0,aérien,1,50.0
255,habitation,1,0,aérien,1,50.0
256,habitation,1,0,aérien,1,50.0
257,habitation,1,0,aérien,1,50.0
258,habitation,1,0,aérien,1,50.0
259,habitation,1,0,aérien,1,50.0
260,habitation,1,0,aérien,1,50.0
261,habitation,1,0,aérien,1,50.0
262,habitation,1,0,aérien,1,50.0
263,habitation,1,0,aérien,1,50.0
264,habitation,1,0,aérien,1,50.0
265,habitation,1,0,aérien,1,50.0
266,habitation,1,0,aérien,1,50.0
267,habitation,1,0,aérien,1,50.0
268,habitation,1,0,aérien,1,50.0
269,habitation,1,0,aérien,1,50.0
270,habitation,1,0,aérien,1,50.0
271,habitation,1,0,aérien,1,50.0
272,habitation,1,0,aérien,1,50.0
273,habitation,1,0,aérien,1,50.0
274,habitation,1,0,aérien,1,50.0
275,habitation,1,0,aérien,1,50.0
276,habitation,1,0,aérien,1,50.0
277,habitation,1,0,aérien,1,50.0
278,habitation,1,0,aérien,1,50.0
279,habitation,1,0,aérien,1,50.0
280,habitation,1,0,aérien,1,50.0
281,habitation,1,0,aérien,1,50.0
282,habitation,1,0,aérien,1,50.0
283,habitation,1,0,aérien,1,50.0
284,habitation,1,0,aérien,1,50.0
285,habitation,1,0,aérien,1,50.0
286,habitation,1,0,aérien,1,50.0
287,habitation,1,0,aérien,1,50.0
288,habitation,1,0,aérien,1,50.0
289,habitation,1,0,aérien,1,50.0
290,habitation,1,0,aérien,1,50.0
291,habitation,1,0,aérien,1,50.0
292,habitation,1,0,aérien,1,50.0
293,habitation,1,0,aérien,1,50.0
294,habitation,1,0,aérien,1,50.0
295,habitation,1,0,aérien,1,50.0
296,habitation,1,0,aérien,1,50.0
297,habitation,1,0,aérien,1,50.0
298,habitation,1,0,aérien,1,50.0
299,habitation,1,0,aérien,1,50.0
300,habitation,1,0,aérien,1,50.0
301,habitation,1,0,aérien,1,50.0
302,habitation,1,0,aérien,1,50.0
303,habitation,1,0,aérien,1,50.0
304,habitation,1,0,aérien,1,50.0
305,habitation,1,0,aérien,1,50.0
306,habitation,1,0,aérien,1,50.0
307,habitation,1,0,aérien,1,50.0
308,habitation,1,0,aérien,1,50.0
309,habitation,1,0,aérien,1,50.0
310,habitation,1,0,aérien,1,50.0
311,habitation,1,0,aérien,1,50.0
312,habitation,1,0,aérien,1,50.0
313,habitation,1,0,aérien,1,50.0
314,habitation,1,0,aérien,1,50.0
315,habitation,1,0,aérien,1,50.0
316,habitation,1,0,aérien,1,50.0
317,habitation,1,0,aérien,1,50.0
318,habitation,1,0,aérien,1,50.0
319,habitation,1,0,aérien,1,50.0
320,habitation,1,0,aérien,1,50.0
321,habitation,1,0,aérien,1,50.0
322,habitation,1,0,aérien,1,50.0
323,habitation,1,0,aérien,1,50.0
324,habitation,1,0,aérien,1,50.0
325,habitation,1,0,aérien,1,50.0
326,habitation,1,0,aérien,1,50.0
327,habitation,1,0,aérien,1,50.0
328,habitation,1,0,aérien,1,50.0
329,habitation,1,0,aérien,1,50.0
330,habitation,1,0,aérien,1,50.0
331,habitation,1,0,aérien,1,50.0
332,habitation,1,0,aérien,1,50.0
333,habitation,1,0,aérien,1,50.0
334,habitation,1,0,aérien,1,50.0
335,habitation,1,0,aérien,1,50.0
336,habitation,1,0,aérien,1,50.0
337,habitation,1,0,aérien,1,50.0
338,habitation,1,0,aérien,1,50.0
339,habitation,1,0,aérien,1,50.0
340,habitation,1,0,aérien,1,50.0
341,habitation,1,0,aérien,1,50.0
342,habitation,1,0,aérien,1,50.0
343,habitation,1,0,aérien,1,50.0
344,habitation,1,0,aérien,1,50.0
345,habitation,1,0,aérien,1,50.0
346,habitation,1,0,aérien,1,50.0
347,habitation,1,0,aérien,1,50.0
348,habitation,1,0,aérien,1,50.0
349,habitation,1,0,aérien,1,50.0
350,habitation,1,0,aérien,1,50.0
351,habitation,1,0,aérien,1,50.0
352,habitation,1,0,aérien,1,50.0
353,habitation,1,0,aérien,1,50.0
354,habitation,1,0,aérien,1,50.0
355,habitation,1,0,aérien,1,50.0
356,habitation,1,0,aérien,1,50.0
357,habitation,1,0,aérien,1,50.0
358,habitation,1,0,aérien,1,50.0
359,habitation,1,0,aérien,1,50.0
360,habitation,1,0,aérien,1,50.0
361,habitation,1,0,aérien,1,50.0
362,habitation,1,0,aérien,1,50.0
363,habitation,1,0,aérien,1,50.0
364,habitation,1,0,aérien,1,50.0
365,habitation,1,0,aérien,1,50.0
366,habitation,1,0,aérien,1,50.0
367,habitation,1,0,aérien,1,50.0
368,habitation,1,0,aérien,1,50.0
369,habitation,1,0,aérien,1,50.0
370,habitation,1,0,aérien,1,50.0
371,habitation,1,0,aérien,1,50.0
372,habitation,1,0,aérien,1,50.0
373,habitation,1,0,aérien,1,50.0
374,habitation,1,0,aérien,1,50.0
375,habitation,1,0,aérien,1,50.0
376,habitation,1,0,aérien,1,50.0
